Course Title,Rating,Provider,Level,Reviews,Type,Duration
Microsoft 365 Fundamentals,4.7,Microsoft,Beginner,3800.0,Specialization,3 - 6 Months
Information Technology (IT) and Cloud Fundamentals,4.7,IBM,Beginner,8300.0,Specialization,3 - 6 Months
Advanced Learning Algorithms,4.9,DeepLearning.AI,Beginner,6100.0,Course,1 - 4 Weeks
Foundations of Positive Psychology,4.8,University of Pennsylvania,Beginner,7700.0,Specialization,3 - 6 Months
IBM Cybersecurity Analyst,4.6,IBM,Beginner,24000.0,Professional Certificate,3 - 6 Months
Cloud Application Development Foundations,4.6,IBM,Beginner,8500.0,Specialization,3 - 6 Months
Prepare Data for Exploration,4.8,Google,Beginner,20000.0,Course,1 - 3 Months
Business Analytics,4.6,University of Pennsylvania,Beginner,18000.0,Specialization,3 - 6 Months
IBM Data Warehouse Engineer,4.7,IBM,Beginner,4700.0,Professional Certificate,3 - 6 Months
Google Cloud Cybersecurity,4.7,Google Cloud,Beginner,75.0,Professional Certificate,3 - 6 Months
The Materiality of ESG Factors,4.7,University of Pennsylvania,Beginner,1100.0,Specialization,3 - 6 Months
"DevOps, Cloud, and Agile Foundations",4.7,IBM,Beginner,10000.0,Specialization,3 - 6 Months
Generative AI Leadership & Strategy,4.8,Vanderbilt University,Beginner,3800.0,Specialization,1 - 3 Months
Data Analysis and Presentation Skills: the PwC Approach,4.6,PwC,Beginner,11000.0,Specialization,3 - 6 Months
Introduction to Statistics,4.6,Stanford University,Beginner,3300.0,Course,1 - 3 Months
Generative AI Assistants,4.8,Vanderbilt University,Beginner,3700.0,Specialization,1 - 3 Months
IBM Project Manager,4.8,IBM,Beginner,3200.0,Professional Certificate,3 - 6 Months
Project Planning: Putting It All Together,4.8,Google,Beginner,13000.0,Course,1 - 3 Months
Neural Networks and Deep Learning,4.9,DeepLearning.AI,Intermediate,122000.0,Course,1 - 4 Weeks
Attract and Engage Customers with Digital Marketing,4.8,Google,Beginner,5700.0,Course,1 - 4 Weeks
Microsoft Cybersecurity Analyst,4.7,Microsoft,Beginner,1600.0,Professional Certificate,3 - 6 Months
Excel Skills for Business,4.9,Macquarie University,Beginner,61000.0,Specialization,3 - 6 Months
The Bits and Bytes of Computer Networking,4.7,Google,Beginner,49000.0,Course,1 - 3 Months
Prompt Engineering for Educators,4.8,Vanderbilt University,Beginner,3900.0,Specialization,1 - 3 Months
Digital Product Management,4.7,University of Virginia,Beginner,9300.0,Specialization,3 - 6 Months
Leading the Modern Day Business,4.7,University of Virginia,Beginner,20000.0,Specialization,3 - 6 Months
Prompt Engineering for Law,4.8,Vanderbilt University,Beginner,3600.0,Specialization,1 - 3 Months
"TESOL Certificate, Part 1: Teach English Now!",4.9,Arizona State University,Beginner,18000.0,Specialization,3 - 6 Months
Meta Marketing Analytics,4.8,Meta,Beginner,2700.0,Professional Certificate,3 - 6 Months
Graphic Design,4.7,California Institute of the Arts,Beginner,21000.0,Specialization,3 - 6 Months
Medical Billing and Coding Fundamentals,4.8,MedCerts,Beginner,801.0,Specialization,3 - 6 Months
Writing in the Sciences,4.9,Stanford University,Beginner,8700.0,Course,1 - 3 Months
Tools of the Trade: Linux and SQL,4.8,Google,Beginner,3900.0,Course,1 - 4 Weeks
Digital Marketing,4.7,University of Illinois Urbana-Champaign,Beginner,23000.0,Specialization,3 - 6 Months
IBM Applied DevOps Engineering,4.7,IBM,Intermediate,5600.0,Professional Certificate,3 - 6 Months
Process Data from Dirty to Clean,4.8,Google,Beginner,16000.0,Course,1 - 3 Months
Introduction to Psychology ,4.9,Yale University,Beginner,29000.0,Course,1 - 3 Months
Agile Project Management,4.8,Google,Beginner,12000.0,Course,1 - 4 Weeks
Preparing for Google Cloud Certification: Cloud Architect,4.7,Google Cloud,Intermediate,59000.0,Professional Certificate,3 - 6 Months
Certified in Cybersecurity,4.8,ISC2,Beginner,688.0,Specialization,3 - 6 Months
Microsoft Cloud Support Associate,4.6,Microsoft,Beginner,231.0,Professional Certificate,3 - 6 Months
Microsoft IT Support Specialist,4.6,Microsoft,Beginner,231.0,Professional Certificate,3 - 6 Months
Meta Data Analyst,4.7,Meta,Beginner,617.0,Professional Certificate,3 - 6 Months
Preparing for Google Cloud Certification: Cloud Engineer,4.7,Google Cloud,Intermediate,58000.0,Professional Certificate,3 - 6 Months
Business Strategy,4.8,University of Virginia,Beginner,4100.0,Specialization,3 - 6 Months
Project Execution: Running the Project,4.8,Google,Beginner,8400.0,Course,1 - 3 Months
Workday Basics Series,4.7,Workday,Beginner,154.0,Course,1 - 4 Weeks
"Start the UX Design Process: Empathize, Define, and Ideate",4.8,Google,Beginner,15000.0,Course,1 - 4 Weeks
Architecting with Google Compute Engine,4.7,Google Cloud,Intermediate,57000.0,Specialization,3 - 6 Months
Fintech: Foundations & Applications of Financial Technology,4.6,University of Pennsylvania,Beginner,3600.0,Specialization,3 - 6 Months
Getting started with Google Workspace,4.7,Google Cloud,Beginner,1700.0,Specialization,3 - 6 Months
Entrepreneurship,4.8,University of Pennsylvania,Beginner,5500.0,Specialization,3 - 6 Months
Business Analytics with Excel: Elementary to Advanced,4.7,Johns Hopkins University,Intermediate,2500.0,Course,1 - 3 Months
Regulatory Compliance,4.8,University of Pennsylvania,Intermediate,2300.0,Specialization,3 - 6 Months
Learn SQL Basics for Data Science,4.6,"University of California, Davis",Beginner,17000.0,Specialization,3 - 6 Months
Introduction to Programming with Python and Java,4.4,University of Pennsylvania,Beginner,1600.0,Specialization,3 - 6 Months
Improve Your English Communication Skills,4.7,Georgia Institute of Technology,Beginner,26000.0,Specialization,3 - 6 Months
"Unsupervised Learning, Recommenders, Reinforcement Learning",4.9,DeepLearning.AI,Beginner,3300.0,Course,1 - 4 Weeks
Construction Management,4.7,Columbia University,Beginner,8700.0,Specialization,3 - 6 Months
Search Engine Optimization (SEO),4.6,"University of California, Davis",Beginner,13000.0,Specialization,3 - 6 Months
Supply Chain Management,4.7,Rutgers the State University of New Jersey,Beginner,14000.0,Specialization,3 - 6 Months
Pharmacy Technician Fundamentals,4.8,MedCerts,Beginner,599.0,Specialization,3 - 6 Months
Preparing for Google Cloud Certification: Cloud Developer,4.7,Google Cloud,Intermediate,48000.0,Professional Certificate,3 - 6 Months
Google Cloud Database Engineer,4.7,Google Cloud,Intermediate,48000.0,Specialization,3 - 6 Months
AWS Cloud Solutions Architect,4.8,Amazon Web Services,Intermediate,5700.0,Professional Certificate,3 - 6 Months
AWS Fundamentals,4.8,Amazon Web Services,Beginner,5500.0,Specialization,1 - 3 Months
Data Structures and Algorithms,4.6,University of California San Diego,Intermediate,16000.0,Specialization,3 - 6 Months
Analyze Data to Answer Questions,4.6,Google,Beginner,11000.0,Course,1 - 4 Weeks
Preparing for Google Cloud Certification: Cloud Security Engineer,4.7,Google Cloud,Intermediate,49000.0,Professional Certificate,3 - 6 Months
Salesforce Sales Operations,4.6,Salesforce,Beginner,1500.0,Professional Certificate,3 - 6 Months
Microsoft Project Management,4.5,Microsoft,Beginner,83.0,Professional Certificate,3 - 6 Months
Tableau Business Intelligence Analyst,4.7,Tableau Learning Partner,Beginner,552.0,Professional Certificate,3 - 6 Months
Google Cloud Data Analytics,4.7,Google Cloud,Beginner,46.0,Professional Certificate,3 - 6 Months
Foundations of Management,4.8,IESE Business School,Beginner,4900.0,Specialization,3 - 6 Months
IT Fundamentals for Cybersecurity,4.6,IBM,Beginner,21000.0,Specialization,3 - 6 Months
Intellectual Property Law,4.8,University of Pennsylvania,Intermediate,1300.0,Specialization,3 - 6 Months
Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.7,Google Cloud,Beginner,53000.0,Professional Certificate,3 - 6 Months
AWS Cloud Technology Consultant,4.8,Amazon Web Services,Beginner,5500.0,Professional Certificate,3 - 6 Months
Preparing for Google Cloud Certification: Machine Learning Engineer,4.5,Google Cloud,Intermediate,6800.0,Professional Certificate,3 - 6 Months
"Assets, Threats, and Vulnerabilities",4.8,Google,Beginner,2600.0,Course,1 - 4 Weeks
The Business of Health Care,4.6,University of Pennsylvania,Beginner,1800.0,Specialization,3 - 6 Months
Data Analysis with R Programming,4.8,Google,Beginner,10000.0,Course,1 - 3 Months
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",4.9,DeepLearning.AI,Intermediate,63000.0,Course,1 - 4 Weeks
Algorithms,4.8,Stanford University,Intermediate,5800.0,Specialization,3 - 6 Months
Preparing for Google Cloud Certification: Cloud Network Engineer,4.7,Google Cloud,Intermediate,49000.0,Professional Certificate,3 - 6 Months
Capstone: Applying Project Management in the Real World,4.8,Google,Beginner,8900.0,Course,1 - 4 Weeks
"Python for Data Science, AI & Development",4.6,IBM,Beginner,37000.0,Course,1 - 3 Months
The Science of Well-Being,4.9,Yale University,Mixed,38000.0,Course,1 - 3 Months
Networking in Google Cloud,4.7,Google Cloud,Intermediate,49000.0,Specialization,3 - 6 Months
AI for Medicine,4.7,DeepLearning.AI,Intermediate,2300.0,Specialization,1 - 3 Months
AWS Cloud Support Associate,4.8,Amazon Web Services,Beginner,5400.0,Professional Certificate,3 - 6 Months
Share Data Through the Art of Visualization,4.6,Google,Beginner,8800.0,Course,1 - 4 Weeks
Think like a CFO,4.8,IESE Business School,Beginner,6000.0,Specialization,3 - 6 Months
