Course Title,Rating,Provider,Level,Reviews,Type,Duration / Weeks
Foundations of User Experience (UX) Design,4.8,Google,Beginner,67000.0,Course,1 - 4
Generative AI for Data Analysts,4.7,IBM,Intermediate,1700.0,Specialization,4 - 12
Generative AI Fundamentals,4.7,IBM,Beginner,1800.0,Specialization,12 - 24
Generative AI for Software Developers,4.7,IBM,Intermediate,1700.0,Specialization,4 - 12
DeepLearning.AI TensorFlow Developer,4.7,DeepLearning.AI,Intermediate,25000.0,Professional Certificate,12 - 24
Meta Database Engineer,4.6,Meta,Beginner,6000.0,Professional Certificate,12 - 24
Generative AI for Product Managers,4.7,IBM,Intermediate,1700.0,Specialization,4 - 12
HRCI Human Resource Associate,4.8,HRCI,Beginner,1400.0,Professional Certificate,12 - 24
Generative AI for Data Engineers,4.7,IBM,Intermediate,1600.0,Specialization,4 - 12
Generative AI for Project Managers,4.7,IBM,Intermediate,1600.0,Specialization,4 - 12
Generative AI for Human Resources (HR) Professionals,4.7,IBM,Intermediate,1600.0,Specialization,4 - 12
Microsoft Business Analyst,4.6,Microsoft,Beginner,225.0,Professional Certificate,12 - 24
Become a CBRS Certified Professional Installer by Google,4.5,Google - Spectrum Sharing,Mixed,199.0,Course,4 - 12
IBM Generative AI for Cybersecurity Professionals,4.7,IBM,Intermediate,1600.0,Specialization,4 - 12
Generative AI for Business Intelligence (BI) Analysts,4.7,IBM,Intermediate,1600.0,Specialization,4 - 12
IBM AI Engineering,4.6,IBM,Intermediate,19000.0,Professional Certificate,12 - 24
Arizona State University TESOL,4.9,Arizona State University,Beginner,19000.0,Professional Certificate,12 - 24
IBM Product Manager,4.8,IBM,Beginner,2200.0,Professional Certificate,12 - 24
Google Business Intelligence,4.7,Google,Advanced,1900.0,Professional Certificate,12 - 24
"BI Foundations with SQL, ETL and Data Warehousing",4.6,IBM,Beginner,21000.0,Specialization,12 - 24
Indigenous Canada,4.8,University of Alberta,Mixed,22000.0,Course,4 - 12
IBM IT Support,4.7,IBM,Beginner,9000.0,Professional Certificate,12 - 24
Generative AI Automation,4.8,Vanderbilt University,Beginner,3900.0,Specialization,12 - 24
Connect and Protect: Networks and Network Security,4.8,Google,Beginner,4600.0,Course,1 - 4
Prompt Engineering,4.8,Vanderbilt University,Beginner,3900.0,Specialization,4 - 12
Microsoft 365 Fundamentals,4.7,Microsoft,Beginner,3800.0,Specialization,12 - 24
Information Technology (IT) and Cloud Fundamentals,4.7,IBM,Beginner,8300.0,Specialization,12 - 24
Advanced Learning Algorithms,4.9,DeepLearning.AI,Beginner,6100.0,Course,1 - 4
Foundations of Positive Psychology,4.8,University of Pennsylvania,Beginner,7700.0,Specialization,12 - 24
IBM Cybersecurity Analyst,4.6,IBM,Beginner,24000.0,Professional Certificate,12 - 24
Cloud Application Development Foundations,4.6,IBM,Beginner,8500.0,Specialization,12 - 24
Prepare Data for Exploration,4.8,Google,Beginner,20000.0,Course,4 - 12
Business Analytics,4.6,University of Pennsylvania,Beginner,18000.0,Specialization,12 - 24
IBM Data Warehouse Engineer,4.7,IBM,Beginner,4700.0,Professional Certificate,12 - 24
Google Cloud Cybersecurity,4.7,Google Cloud,Beginner,75.0,Professional Certificate,12 - 24
The Materiality of ESG Factors,4.7,University of Pennsylvania,Beginner,1100.0,Specialization,12 - 24
"DevOps, Cloud, and Agile Foundations",4.7,IBM,Beginner,10000.0,Specialization,12 - 24
Generative AI Leadership & Strategy,4.8,Vanderbilt University,Beginner,3800.0,Specialization,4 - 12
Data Analysis and Presentation Skills: the PwC Approach,4.6,PwC,Beginner,11000.0,Specialization,12 - 24
Introduction to Statistics,4.6,Stanford University,Beginner,3300.0,Course,4 - 12
Generative AI Assistants,4.8,Vanderbilt University,Beginner,3700.0,Specialization,4 - 12
IBM Project Manager,4.8,IBM,Beginner,3200.0,Professional Certificate,12 - 24
Project Planning: Putting It All Together,4.8,Google,Beginner,13000.0,Course,4 - 12
Neural Networks and Deep Learning,4.9,DeepLearning.AI,Intermediate,122000.0,Course,1 - 4
Attract and Engage Customers with Digital Marketing,4.8,Google,Beginner,5700.0,Course,1 - 4
Microsoft Cybersecurity Analyst,4.7,Microsoft,Beginner,1600.0,Professional Certificate,12 - 24
Excel Skills for Business,4.9,Macquarie University,Beginner,61000.0,Specialization,12 - 24
The Bits and Bytes of Computer Networking,4.7,Google,Beginner,49000.0,Course,4 - 12
Prompt Engineering for Educators,4.8,Vanderbilt University,Beginner,3900.0,Specialization,4 - 12
Digital Product Management,4.7,University of Virginia,Beginner,9300.0,Specialization,12 - 24
Leading the Modern Day Business,4.7,University of Virginia,Beginner,20000.0,Specialization,12 - 24
Prompt Engineering for Law,4.8,Vanderbilt University,Beginner,3600.0,Specialization,4 - 12
"TESOL Certificate, Part 1: Teach English Now!",4.9,Arizona State University,Beginner,18000.0,Specialization,12 - 24
Meta Marketing Analytics,4.8,Meta,Beginner,2700.0,Professional Certificate,12 - 24
Graphic Design,4.7,California Institute of the Arts,Beginner,21000.0,Specialization,12 - 24
Medical Billing and Coding Fundamentals,4.8,MedCerts,Beginner,801.0,Specialization,12 - 24
Writing in the Sciences,4.9,Stanford University,Beginner,8700.0,Course,4 - 12
Tools of the Trade: Linux and SQL,4.8,Google,Beginner,3900.0,Course,1 - 4
Digital Marketing,4.7,University of Illinois Urbana-Champaign,Beginner,23000.0,Specialization,12 - 24
IBM Applied DevOps Engineering,4.7,IBM,Intermediate,5600.0,Professional Certificate,12 - 24
Process Data from Dirty to Clean,4.8,Google,Beginner,16000.0,Course,4 - 12
Introduction to Psychology ,4.9,Yale University,Beginner,29000.0,Course,4 - 12
Agile Project Management,4.8,Google,Beginner,12000.0,Course,1 - 4
Preparing for Google Cloud Certification: Cloud Architect,4.7,Google Cloud,Intermediate,59000.0,Professional Certificate,12 - 24
Certified in Cybersecurity,4.8,ISC2,Beginner,688.0,Specialization,12 - 24
Microsoft Cloud Support Associate,4.6,Microsoft,Beginner,231.0,Professional Certificate,12 - 24
Microsoft IT Support Specialist,4.6,Microsoft,Beginner,231.0,Professional Certificate,12 - 24
Meta Data Analyst,4.7,Meta,Beginner,617.0,Professional Certificate,12 - 24
Preparing for Google Cloud Certification: Cloud Engineer,4.7,Google Cloud,Intermediate,58000.0,Professional Certificate,12 - 24
Business Strategy,4.8,University of Virginia,Beginner,4100.0,Specialization,12 - 24
Project Execution: Running the Project,4.8,Google,Beginner,8400.0,Course,4 - 12
Workday Basics Series,4.7,Workday,Beginner,154.0,Course,1 - 4
